"CO_CUCI_ITEM";"NO_CUCI_ITEM";"CO_CUCI_SUB";"NO_CUCI_SUB";"CO_CUCI_GRUPO";"NO_CUCI_GRUPO";"CO_CUCI_DIVISAO";"NO_CUCI_DIVISAO";"CO_CUCI_SEC";"NO_CUCI_SEC"
"I";"Ouro, monetário";"9710";"Ouro, não monetário (excluindo minérios de ouro e seus concentrados)";"971";"Ouro, não monetário (excluindo minérios de ouro e seus concentrados)";"97";"Ouro, não monetário (excluindo minérios de ouro e seus concentrados)";"9";"MERCADORIAS E TRANSACOES NAO ESPECIFICADAS EM OUTRAS PARTES DA CUCI"
"II";"Moeda de ouro e moeda corrente";"9710";"Ouro, não monetário (excluindo minérios de ouro e seus concentrados)";"971";"Ouro, não monetário (excluindo minérios de ouro e seus concentrados)";"97";"Ouro, não monetário (excluindo minérios de ouro e seus concentrados)";"9";"MERCADORIAS E TRANSACOES NAO ESPECIFICADAS EM OUTRAS PARTES DA CUCI"
"00111";"Animais de raça para reprodução";"0011";"Bovinos vivos";"001";"Animais vivos, não incluído pescados ou crustáceos";"00";"Animais vivos não incluídos no capítulo 03";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"00119";"Outros, exceto animais de raça para reprodução";"0011";"Bovinos vivos";"001";"Animais vivos, não incluído pescados ou crustáceos";"00";"Animais vivos não incluídos no capítulo 03";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"00121";"Ovinos vivos";"0012";"Ovinos e caprinos vivos";"001";"Animais vivos, não incluído pescados ou crustáceos";"00";"Animais vivos não incluídos no capítulo 03";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"00122";"Caprinos vivos";"0012";"Ovinos e caprinos vivos";"001";"Animais vivos, não incluído pescados ou crustáceos";"00";"Animais vivos não incluídos no capítulo 03";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"00131";"Animais de raça para reprodução";"0013";"Suínos vivos";"001";"Animais vivos, não incluído pescados ou crustáceos";"00";"Animais vivos não incluídos no capítulo 03";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"00139";"Outros, exceto animais de raça para reprodução";"0013";"Suínos vivos";"001";"Animais vivos, não incluído pescados ou crustáceos";"00";"Animais vivos não incluídos no capítulo 03";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"00141";"Aves de granja, vivas (ex. as espécies de Gallus domesticus, patos, gansos, perus e galinhas d´angola, com peso inferior a 185g)";"0014";"Aves de granja, vivas";"001";"Animais vivos, não incluído pescados ou crustáceos";"00";"Animais vivos não incluídos no capítulo 03";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"00149";"Outros ";"0014";"Aves de granja, vivas";"001";"Animais vivos, não incluído pescados ou crustáceos";"00";"Animais vivos não incluídos no capítulo 03";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"0015";"Cavalos, asnos, mulas e burros vivos";"0015";"Cavalos, asnos, mulas e burros vivos";"001";"Animais vivos, não incluído pescados ou crustáceos";"00";"Animais vivos não incluídos no capítulo 03";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"0019";"Animais vivos n.e.p.";"0019";"Outros animais vivos";"001";"Animais vivos, não incluído pescados ou crustáceos";"00";"Animais vivos não incluídos no capítulo 03";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"01111";"Carne de gado bovino fresca ou refrigerada, não desossada";"0111";"Carne bovina fresca ou refrigerada";"011";"Carne bovina fresca, refrigerada ou congelada";"01";"Carne e preparações de carne";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"01112";"Carne de gado bovino fresca ou refrigerada, desossada";"0111";"Carne bovina fresca ou refrigerada";"011";"Carne bovina fresca, refrigerada ou congelada";"01";"Carne e preparações de carne";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"01121";"Carne de gado bovino congelada, não desossada";"0112";"Carne bovina congelada";"011";"Carne bovina fresca, refrigerada ou congelada";"01";"Carne e preparações de carne";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"01122";"Carne de gado bovino congelada, desossada";"0112";"Carne bovina congelada";"011";"Carne bovina fresca, refrigerada ou congelada";"01";"Carne e preparações de carne";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"01211";"Carne de ovinos fresca ou resfriada";"0121";"Carne de ovinos ou caprinos, fresca, resfriada ou congelada";"012c3";"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas";"01";"Carne e preparações de carne";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"01212";"Carbe de ovinos congelada";"0121";"Carne de ovinos ou caprinos, fresca, resfriada ou congelada";"012c3";"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas";"01";"Carne e preparações de carne";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"01213";"Carne de caprinos fresca, resfriada ou congelada";"0121";"Carne de ovinos ou caprinos, fresca, resfriada ou congelada";"012c3";"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas";"01";"Carne e preparações de carne";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"01221";"Carne de suínos fresca ou refrigerada";"0122";"Carne suína fresca, resfriada ou congelada";"012c2";"Carne suína fresca, refrigerada ou congelada";"01";"Carne e preparações de carne";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"01222";"Carne de suínos congelada";"0122";"Carne suína fresca, resfriada ou congelada";"012c2";"Carne suína fresca, refrigerada ou congelada";"01";"Carne e preparações de carne";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"01231";"Aves inteiras frescas ou resfriadas";"0123";"Carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas, de aves";"012c1";"Carnes de aves e suas miudezas comestíveis, frescas, refrigeradas ou congeladas";"01";"Carne e preparações de carne";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"01232";"Aves inteiras congeladas";"0123";"Carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas, de aves";"012c1";"Carnes de aves e suas miudezas comestíveis, frescas, refrigeradas ou congeladas";"01";"Carne e preparações de carne";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"01233";"Fígados de ganso ou pato, frescos ou resfriados";"0123";"Carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas, de aves";"012c1";"Carnes de aves e suas miudezas comestíveis, frescas, refrigeradas ou congeladas";"01";"Carne e preparações de carne";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"01234";"Cortes de aves ou outros despojos, frescos ou resfriados";"0123";"Carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas, de aves";"012c1";"Carnes de aves e suas miudezas comestíveis, frescas, refrigeradas ou congeladas";"01";"Carne e preparações de carne";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"01235";"Cortes de aves ou outros despojos, congelados";"0123";"Carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas, de aves";"012c1";"Carnes de aves e suas miudezas comestíveis, frescas, refrigeradas ou congeladas";"01";"Carne e preparações de carne";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"0124";"Carne de cavalos, asnos, mulas e burros, fresca, refrigerada ou congelada";"0124";"Carne de cavalos, asnos, mulas e burros, fresca, refrigerada ou congelada";"012c3";"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas";"01";"Carne e preparações de carne";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"01251";"Despojos comestíveis de bovinos, frescos ou refrigerados";"0125";"Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas";"012c3";"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas";"01";"Carne e preparações de carne";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"01252";"Despojos comestíveis de bovinos, congelados";"0125";"Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas";"012c3";"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas";"01";"Carne e preparações de carne";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"01253";"Despojos comestíveis de suínos, frescos ou resfriados";"0125";"Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas";"012c3";"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas";"01";"Carne e preparações de carne";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"01254";"Despojos comestíveis de suínos congelados";"0125";"Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas";"012c3";"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas";"01";"Carne e preparações de carne";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"01255";"Despojos comestíveis de ovinos, caprinos, equinos e asininos, fescos e resfrigerados ";"0125";"Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas";"012c3";"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas";"01";"Carne e preparações de carne";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"01256";"Despojos comestíveis de ovinos, caprinos, equinos e asininos, congelados";"0125";"Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas";"012c3";"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas";"01";"Carne e preparações de carne";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"01291";"Carne ou despojos comestíveis de coelhos ou lebres";"0129";"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas";"012c3";"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas";"01";"Carne e preparações de carne";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"01293";"Moluscos (exceto moluscos marinhos)";"0129";"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas";"012c3";"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas";"01";"Carne e preparações de carne";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"01299";"Outras carn.e.p. ou despojos comestíveis de animais frescos, resfriados ou congelados";"0129";"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas";"012c3";"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas";"01";"Carne e preparações de carne";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"01611";"Presuntos, espaldilhas e seus cortes não desossados";"0161";"Bacon, presunto e outras carnes salgadas, secas ou defumadas de suínos";"016";"Outras carnes comestíveis salgadas, em salmoras, secas ou defumadas";"01";"Carne e preparações de carne";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"01612";"Pança e seus cortes";"0161";"Bacon, presunto e outras carnes salgadas, secas ou defumadas de suínos";"016";"Outras carnes comestíveis salgadas, em salmoras, secas ou defumadas";"01";"Carne e preparações de carne";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"01619";"Outros";"0161";"Bacon, presunto e outras carnes salgadas, secas ou defumadas de suínos";"016";"Outras carnes comestíveis salgadas, em salmoras, secas ou defumadas";"01";"Carne e preparações de carne";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"01681";"Carne de bovinos";"0168";"Carnes e miudezas comestíveis, exceto de carne suína";"016";"Outras carnes comestíveis salgadas, em salmoras, secas ou defumadas";"01";"Carne e preparações de carne";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"01689";"Outros, incluindo farinhas comestíveis de carn.e.p. e despojos de carne";"0168";"Carnes e miudezas comestíveis, exceto de carne suína";"016";"Outras carnes comestíveis salgadas, em salmoras, secas ou defumadas";"01";"Carne e preparações de carne";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"0171";"Extratos e sucos de carne, peixe ou crustáceos, moluscos e outros invertebrados aquáticos";"0171";"Extratos e sucos de carne, peixe ou crustáceos, moluscos e outros invertebrados aquáticos";"017";"Despojos comestíveis de carnes, preparados ou preservados";"01";"Carne e preparações de carne";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"0172";"Linguiças, salsichas e produtos similares, de carne, despojos de carne ou sangue; preparações alimentícias baseadas n.e.p.tes produtos";"0172";"Linguiças, salsichas e produtos similares, de carne, despojos de carne ou sangue";"017";"Despojos comestíveis de carnes, preparados ou preservados";"01";"Carne e preparações de carne";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"0173";"Fígado de qualquer animal, preparado ou preservado, n.e.p.";"0173";"Fígado de qualquer animal, preparado ou preservado";"017";"Despojos comestíveis de carnes, preparados ou preservados";"01";"Carne e preparações de carne";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"0174";"Carne ou despojos (exceto fígado) de aves do subgrupo 001.4, preparado ou preservado, n.e.p.";"0174";"Carne e miudezas (exceto fígado) de aves, preparado ou preservado";"017";"Despojos comestíveis de carnes, preparados ou preservados";"01";"Carne e preparações de carne";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"0175";"Carne ou despojos (exceto fígado) de bovinos, preparado ou preservado, n.e.p.";"0175";"Carne e miudezas (exceto fígado) de bovinos, preparado ou preservado";"017";"Despojos comestíveis de carnes, preparados ou preservados";"01";"Carne e preparações de carne";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"0176";"Carne ou despojos (exceto fígado) de suínos, preparado ou preservado, n.e.p.";"0176";"Carne e miudezas (exceto fígado) de suínos, preparado ou preservado";"017";"Despojos comestíveis de carnes, preparados ou preservados";"01";"Carne e preparações de carne";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"0179";"Outras carn.e.p. preparadas ou preservadas, e despojos de carne (incluindo preparações como sangue de qualquer animal)";"0179";"Outras carnes e miudezas preparadas ou preservadas, de carne (incluindo preparações como sangue de qualquer animal)";"017";"Despojos comestíveis de carnes, preparados ou preservados";"01";"Carne e preparações de carne";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"02211";"Leite com gordura não excedendo a 1% do peso";"0221";"Leite (incluindo desnatado) e creme, não concentrado ou adoçado";"022";"Leite, creme de leite e laticínios, exceto manteiga ou queijo";"02";"Laticínios e ovos de aves";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"02212";"Leite com gordura excedendo a 1% do peso, mas não superior a 6%";"0221";"Leite (incluindo desnatado) e creme, não concentrado ou adoçado";"022";"Leite, creme de leite e laticínios, exceto manteiga ou queijo";"02";"Laticínios e ovos de aves";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"02213";"Creme com conteúdo de gordura excedendo a 6% do peso";"0221";"Leite (incluindo desnatado) e creme, não concentrado ou adoçado";"022";"Leite, creme de leite e laticínios, exceto manteiga ou queijo";"02";"Laticínios e ovos de aves";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"02221";"Leite em forma sólida, com conteúdo de gordura não excedendo a 1,5% do peso";"0222";"Leite e creme de leite concentrados ou adoçados";"022";"Leite, creme de leite e laticínios, exceto manteiga ou queijo";"02";"Laticínios e ovos de aves";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"02222";"Leite em forma sólida, com conteúdo de gordura excedendo a 1,5% do peso";"0222";"Leite e creme de leite concentrados ou adoçados";"022";"Leite, creme de leite e laticínios, exceto manteiga ou queijo";"02";"Laticínios e ovos de aves";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"02223";"Leite e creme, não em forma sólida, não contendo açucar ou qualquer matéria adoçante";"0222";"Leite e creme de leite concentrados ou adoçados";"022";"Leite, creme de leite e laticínios, exceto manteiga ou queijo";"02";"Laticínios e ovos de aves";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"02224";"Leite e creme, não em forma sólida, contendo açucar ou qualquer matéria adoçante";"0222";"Leite e creme de leite concentrados ou adoçados";"022";"Leite, creme de leite e laticínios, exceto manteiga ou queijo";"02";"Laticínios e ovos de aves";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"02231";"Iogurte, concentrado ou não, ou contendo açúcar ou outra matéria adoçante ou saborizado ou com adição de frutas, nozes, ou caco";"0223";"Iogurte, soro de leite, leite e creme coalhados, fermentados ou acidificado, sorvete";"022";"Leite, creme de leite e laticínios, exceto manteiga ou queijo";"02";"Laticínios e ovos de aves";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"02232";"Soro de leite, creme e leite coalhado, kephir e outro leite ou creme fermentado ou acidificado, concentrado ou não, ou contendo açúcar ou outra matéria adoçante ou saborizado ou com adição de frutas, nozes, ou caco";"0223";"Iogurte, soro de leite, leite e creme coalhados, fermentados ou acidificado, sorvete";"022";"Leite, creme de leite e laticínios, exceto manteiga ou queijo";"02";"Laticínios e ovos de aves";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"02233";"Sorvete ou outros gelos comestíveis, contendo ou não cacao";"0223";"Iogurte, soro de leite, leite e creme coalhados, fermentados ou acidificado, sorvete";"022";"Leite, creme de leite e laticínios, exceto manteiga ou queijo";"02";"Laticínios e ovos de aves";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"02241";"Soro ou soro de leite modificado, concentrado ou não, ou adicionado de açúcar ou outra matéria adoçante";"0224";"Soro, produtos constitutivos naturais do leite";"022";"Leite, creme de leite e laticínios, exceto manteiga ou queijo";"02";"Laticínios e ovos de aves";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"02249";"Produtos constitutivos naturais do leite, n.e.p.";"0224";"Soro, produtos constitutivos naturais do leite";"022";"Leite, creme de leite e laticínios, exceto manteiga ou queijo";"02";"Laticínios e ovos de aves";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"0230";"Manteiga e outras gorduras e olhos derivados do leite; pastas lácteas para untar";"0230";"Manteiga e outras gorduras e olhos derivados do leite, pastas lácteas para untar";"023";"Manteiga e outras gorduras e óleos derivados do leite";"02";"Laticínios e ovos de aves";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"0241";"Queijo ralado ou em pó, de todos os tipos";"0241";"Queijo ralado ou em pó, de todos os tipos";"024";"Queijo e coalhada";"02";"Laticínios e ovos de aves";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"0242";"Queijo processado, exceto ralado ou em pó";"0242";"Queijo processado, exceto ralado ou em pó";"024";"Queijo e coalhada";"02";"Laticínios e ovos de aves";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"0243";"Queijo azul ou outros queijos contendo veias produzidas pelo Penicillium roqueforti";"0243";"Queijo azul ou outros queijos contendo veias produzidas pelo Penicillium roqueforti";"024";"Queijo e coalhada";"02";"Laticínios e ovos de aves";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"02491";"Queijo fresco (não curado ou maturado), incluindo queijo de soro e coalhada";"0249";"Outros queijos, coalhadas";"024";"Queijo e coalhada";"02";"Laticínios e ovos de aves";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"02499";"Outros queijos";"0249";"Outros queijos, coalhadas";"024";"Queijo e coalhada";"02";"Laticínios e ovos de aves";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"0251";"Ovos de aves, na casca, frescos, preservados ou cozidos";"0251";"Ovos de aves, na casca, frescos, preservados ou cozidos";"025";"Ovos de aves, gemas de ovos, frescos, desidratados ou preservados, adoçados ou não, e derivados";"02";"Laticínios e ovos de aves";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"02521";"Ovos de aves, fora da casca, gemas de ovo Desidratados";"0252";"Ovos de aves, fora da casca, gemas de ovo";"025";"Ovos de aves, gemas de ovos, frescos, desidratados ou preservados, adoçados ou não, e derivados";"02";"Laticínios e ovos de aves";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"02522";"Ovos de aves, fora da casca, gemas de ovo Não desidratados";"0252";"Ovos de aves, fora da casca, gemas de ovo";"025";"Ovos de aves, gemas de ovos, frescos, desidratados ou preservados, adoçados ou não, e derivados";"02";"Laticínios e ovos de aves";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"0253";"Albumina do ovo";"0253";"Albumina do ovo";"025";"Ovos de aves, gemas de ovos, frescos, desidratados ou preservados, adoçados ou não, e derivados";"02";"Laticínios e ovos de aves";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"03411";"Pescado vivo";"0341";"Pescado, fresco (vivo ou morto) ou refrigerado (inteiro)";"034a";"Pescado inteiro vivo, morto ou refrigerado";"03";"Pescado (exceto mamíferos marinhos),crustáceos,moluscos e invertebrados aquáticos e suas preparações";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"03412";"Salmonídeos, frescos ou refrigerados (exceto fígados e ovas)";"0341";"Pescado, fresco (vivo ou morto) ou refrigerado (inteiro)";"034a";"Pescado inteiro vivo, morto ou refrigerado";"03";"Pescado (exceto mamíferos marinhos),crustáceos,moluscos e invertebrados aquáticos e suas preparações";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"03413";"Peixes pleuronectos  frescos ou refrigerados (exceto fígados e ovas)";"0341";"Pescado, fresco (vivo ou morto) ou refrigerado (inteiro)";"034a";"Pescado inteiro vivo, morto ou refrigerado";"03";"Pescado (exceto mamíferos marinhos),crustáceos,moluscos e invertebrados aquáticos e suas preparações";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"03414";"Atuns, listrados ou bonitos de barriga listrada  frescos ou refrigerados (exceto fígados e ovas)";"0341";"Pescado, fresco (vivo ou morto) ou refrigerado (inteiro)";"034a";"Pescado inteiro vivo, morto ou refrigerado";"03";"Pescado (exceto mamíferos marinhos),crustáceos,moluscos e invertebrados aquáticos e suas preparações";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"03415";"Arenques, sardinhas, sardinetas ou espadin.e.p.  frescos ou refrigerados (exceto fígados e ovas)";"0341";"Pescado, fresco (vivo ou morto) ou refrigerado (inteiro)";"034a";"Pescado inteiro vivo, morto ou refrigerado";"03";"Pescado (exceto mamíferos marinhos),crustáceos,moluscos e invertebrados aquáticos e suas preparações";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"03416";"Bacalhaus frescos ou refrigerados (exceto fígados e ovas)";"0341";"Pescado, fresco (vivo ou morto) ou refrigerado (inteiro)";"034a";"Pescado inteiro vivo, morto ou refrigerado";"03";"Pescado (exceto mamíferos marinhos),crustáceos,moluscos e invertebrados aquáticos e suas preparações";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"03417";"Cavalas (escômbridos) frescos ou refrigerados (exceto fígados e ovas)";"0341";"Pescado, fresco (vivo ou morto) ou refrigerado (inteiro)";"034a";"Pescado inteiro vivo, morto ou refrigerado";"03";"Pescado (exceto mamíferos marinhos),crustáceos,moluscos e invertebrados aquáticos e suas preparações";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"03418";"Outros peixes frescos ou refrigerados (exceto fígados e ovas)";"0341";"Pescado, fresco (vivo ou morto) ou refrigerado (inteiro)";"034a";"Pescado inteiro vivo, morto ou refrigerado";"03";"Pescado (exceto mamíferos marinhos),crustáceos,moluscos e invertebrados aquáticos e suas preparações";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"03419";"Fígados e ovas de peixes, frescos ou refrigerados";"0341";"Pescado, fresco (vivo ou morto) ou refrigerado (inteiro)";"034a";"Pescado inteiro vivo, morto ou refrigerado";"03";"Pescado (exceto mamíferos marinhos),crustáceos,moluscos e invertebrados aquáticos e suas preparações";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"03421";"Salmonídeos, congelados (exceto fígados e ovas)";"0342";"Pescado congelado inteiro";"034c";"Filés ou outras carnes de peixes congelados, frescos ou refrigerados";"03";"Pescado (exceto mamíferos marinhos),crustáceos,moluscos e invertebrados aquáticos e suas preparações";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"03422";"Peixes pleuronectos congelados (exceto fígados e ovas)";"0342";"Pescado congelado inteiro";"034c";"Filés ou outras carnes de peixes congelados, frescos ou refrigerados";"03";"Pescado (exceto mamíferos marinhos),crustáceos,moluscos e invertebrados aquáticos e suas preparações";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"03423";"Atuns, listrados ou bonitos de barriga listrada congelados (exceto fígados e ovas)";"0342";"Pescado congelado inteiro";"034c";"Filés ou outras carnes de peixes congelados, frescos ou refrigerados";"03";"Pescado (exceto mamíferos marinhos),crustáceos,moluscos e invertebrados aquáticos e suas preparações";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"03424";"Arenques, sardinhas, sardinetas ou espadin.e.p.  congelados (exceto fígados e ovas)";"0342";"Pescado congelado inteiro";"034c";"Filés ou outras carnes de peixes congelados, frescos ou refrigerados";"03";"Pescado (exceto mamíferos marinhos),crustáceos,moluscos e invertebrados aquáticos e suas preparações";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"03425";"Bacalhaus congelados (exceto fígados e ovas)";"0342";"Pescado congelado inteiro";"034c";"Filés ou outras carnes de peixes congelados, frescos ou refrigerados";"03";"Pescado (exceto mamíferos marinhos),crustáceos,moluscos e invertebrados aquáticos e suas preparações";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"03426";"Cavalas (escômbridos) congelados (exceto fígados e ovas)";"0342";"Pescado congelado inteiro";"034c";"Filés ou outras carnes de peixes congelados, frescos ou refrigerados";"03";"Pescado (exceto mamíferos marinhos),crustáceos,moluscos e invertebrados aquáticos e suas preparações";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"03427";"Merluzas congeladas (exceto fígados e ovas)";"0342";"Pescado congelado inteiro";"034c";"Filés ou outras carnes de peixes congelados, frescos ou refrigerados";"03";"Pescado (exceto mamíferos marinhos),crustáceos,moluscos e invertebrados aquáticos e suas preparações";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"03428";"Outros peixes congelados (exceto fígados e ovas)";"0342";"Pescado congelado inteiro";"034c";"Filés ou outras carnes de peixes congelados, frescos ou refrigerados";"03";"Pescado (exceto mamíferos marinhos),crustáceos,moluscos e invertebrados aquáticos e suas preparações";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"03429";"Fígados e ovas de peixes, congelados";"0342";"Pescado congelado inteiro";"034c";"Filés ou outras carnes de peixes congelados, frescos ou refrigerados";"03";"Pescado (exceto mamíferos marinhos),crustáceos,moluscos e invertebrados aquáticos e suas preparações";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
"0344";"Filés de peixe congelados";"0344";"Filés de peixe congelados";"034c";"Filés ou outras carnes de peixes congelados, frescos ou refrigerados";"03";"Pescado (exceto mamíferos marinhos),crustáceos,moluscos e invertebrados aquáticos e suas preparações";"0";"PRODUTOS ALIMENTICIOS E ANIMAIS VIVOS"
